movieId,Director,Budget,Cumulative Worldwide Gross,Runtime
882,David Koepp,8000000,3622979,1 hour 34 minutes
881,David Mickey Evans,-,26491793,1 hour 41 minutes
880,"John Frankenheimer, Richard Stanley",40000000,49627779,1 hour 36 minutes
879,Peter Hyams,40000000,33956608,1 hour 50 minutes
876,Stanley Tong,-,-,1 hour 44 minutes
875,Izidore K. Musallam,-,-,1 hour 23 minutes
870,Christopher Cain,53000000,19745922,1 hour 34 minutes
869,Robert Altman,19000000,1356828,1 hour 56 minutes
867,Arthur Hiller,17000000,3325651,1 hour 29 minutes
866,"Lana Wachowski, Lilly Wachowski",4500000,3802260,1 hour 49 minutes
861,Stanley Tong,900000,16270600,1 hour 31 minutes
858,Francis Ford Coppola,6000000,250342198,2 hours 55 minutes
852,Ron Shelton,45000000,53854588,2 hours 15 minutes
851,Julian Schnabel,3300000,3046399,1 hour 47 minutes
849,John Carpenter,50000000,25477365,1 hour 41 minutes
848,Lee David Zlotoff,6000000,12658486,1 hour 57 minutes
842,Gilbert Adler,13000000,5781045,1 hour 27 minutes
841,Georges Franju,-,61453,1 hour 30 minutes
840,Harry Winer,-,7032782,1 hour 48 minutes
839,Tim Pope,13000000,17917287,1 hour 24 minutes
838,Douglas McGrath,6000000,22231658,2 hours
837,Danny DeVito,36000000,33460753,1 hour 38 minutes
836,Andrew Davis,50000000,60209334,1 hour 47 minutes
835,Annette Haywood-Carter,-,269300,1 hour 42 minutes
833,Hart Bochner,-,21302121,1 hour 26 minutes
832,Ron Howard,80000000,309492681,2 hours 1 minute
830,Hugh Wilson,26000000,181489203,1 hour 43 minutes
829,John Payson,13000000,4619014,1 hour 20 minutes
828,Steve Barron,25000000,15094530,1 hour 36 minutes
824,Peter Sehr,-,-,2 hours 19 minutes
823,Éric Rohmer,-,7077,1 hour 26 minutes
818,Arlene Sanford,12000000,21440752,1 hour 30 minutes
813,Howard Franklin,30000000,8315693,1 hour 33 minutes
810,Paul Michael Glaser,20000000,18937262,1 hour 33 minutes
809,Kevin Hooks,25000000,17193231,1 hour 38 minutes
808,Fraser C. Heston,23000000,11829959,1 hour 49 minutes
806,Michael Corrente,-,665450,1 hour 28 minutes
805,Joel Schumacher,40000000,152266007,2 hours 29 minutes
804,Edward Burns,3500000,9538948,1 hour 36 minutes
803,Nicole Holofcener,1000000,1287480,1 hour 26 minutes
802,Jon Turteltaub,32000000,152036382,2 hours 3 minutes
801,Bronwen Hughes,12000000,26570048,1 hour 40 minutes
800,John Sayles,5000000,12421583,2 hours 15 minutes
799,Peter Jackson,30000000,29359216,1 hour 50 minutes
798,Rob Cohen,80000000,159212469,1 hour 54 minutes
795,Alexandre Rockwell,-,18112,1 hour 42 minutes
791,Yale Strom,-,-,1 hour 25 minutes
790,Lucian Pintilie,-,-,1 hour 22 minutes
788,Tom Shadyac,54000000,273961019,1 hour 35 minutes
786,Chuck Russell,100000000,242295562,1 hour 55 minutes
785,"Bobby Farrelly, Peter Farrelly",27000000,25023434,1 hour 54 minutes
784,Ben Stiller,47000000,102825796,1 hour 36 minutes
783,"Gary Trousdale, Kirk Wise",100000000,325338851,1 hour 31 minutes
782,Tony Scott,55000000,18626419,1 hour 56 minutes
781,Bernardo Bertolucci,10000000,4885670,1 hour 58 minutes
780,Roland Emmerich,75000000,817400891,2 hours 25 minutes
779,Scott Winant,1000000,3525125,1 hour 53 minutes
778,Danny Boyle,1500000,16981823,1 hour 33 minutes
775,"Federico Fellini, Louis Malle, Roger Vadim",-,-,2 hours 1 minute
773,Djibril Diop Mambéty,-,180,1 hour 25 minutes
766,Mary Harron,-,1875527,1 hour 43 minutes
765,Francis Ford Coppola,45000000,58620973,1 hour 53 minutes
764,James Mangold,-,941414,1 hour 45 minutes
762,Andrew Bergman,40000000,113309743,1 hour 55 minutes
761,Simon Wincer,45000000,17323326,1 hour 40 minutes
760,Joseph Vilsmaier,20000000,152972,2 hours 14 minutes
759,Freida Lee Mock,-,62186,1 hour 45 minutes
757,Wong Kar-Wai,40000000,2009694,1 hour 40 minutes
750,Stanley Kubrick,1800000,9631984,1 hour 35 minutes
748,David Twohy,25000000,14063331,1 hour 55 minutes
747,John Landis,25000000,2491989,1 hour 34 minutes
745,Nick Park,-,20909,30 minutes
743,Rick Friedberg,18000000,26960191,1 hour 21 minutes
742,Tom Holland,8000000,15315484,1 hour 33 minutes
741,Mamoru Oshii,330000000,964016,1 hour 23 minutes
737,David Hogan,9000000,3793614,1 hour 38 minutes
736,Jan de Bont,92000000,494580615,1 hour 53 minutes
735,Michele Soavi,4000000,253986,1 hour 43 minutes
733,Michael Bay,75000000,335062621,2 hours 16 minutes
731,Phil Joanou,25000000,5009305,2 hours 12 minutes
728,John Schlesinger,-,5682429,1 hour 45 minutes
726,Bruce Beresford,-,5939449,1 hour 43 minutes
725,Reginald Hudlin,-,8008255,1 hour 31 minutes
724,Andrew Fleming,15000000,24825844,1 hour 41 minutes
722,Brett Thompson,-,-,1 hour 29 minutes
720,-,-,-,-
719,Harold Ramis,45000000,21075014,1 hour 57 minutes
718,Jean-Marie Poiré,50000000,659810,1 hour 47 minutes
715,Jean-Paul Rappeneau,-,1320043,1 hour 58 minutes
714,Jim Jarmusch,9000000,1085079,2 hours 1 minute
711,Alan Shapiro,25530000,20080020,1 hour 35 minutes
710,Tom DeCerchio,-,9255027,1 hour 31 minutes
709,George Scribner,31000000,74151346,1 hour 14 minutes
708,Michael Lehmann,-,34861807,1 hour 37 minutes
707,Lee Tamahori,29000000,11526099,1 hour 47 minutes
706,Steve Gomer,-,10163782,1 hour 39 minutes
704,Jean-Claude Van Damme,30000000,57400547,1 hour 35 minutes
703,Stacy Cochran,-,516349,1 hour 26 minutes
700,Patrick Read Johnson,-,4821759,1 hour 30 minutes
698,Zalman King,-,63174,1 hour 42 minutes
697,Steven Baigelman,-,3124440,1 hour 39 minutes
695,Pat Verducci,-,-,1 hour 34 minutes
694,Robert Mandel,-,14818176,1 hour 54 minutes
692,Norberto Barba,19000000,5107669,1 hour 34 minutes
691,Richard Benjamin,25000000,10082005,1 hour 45 minutes
688,Simon Wincer,-,24670346,1 hour 47 minutes
685,Randal Kleiser,-,622503,1 hour 50 minutes
680,Jean-Luc Godard,220000,66076,1 hour 39 minutes
679,Peter Yates,-,-,1 hour 49 minutes
678,George Hickenlooper,-,-,25 minutes
674,Roger Vadim,9000000,1288,1 hour 38 minutes
673,Joe Pytka,80000000,230594962,1 hour 28 minutes
671,Jim Mallon,-,1007306,1 hour 13 minutes
670,Satyajit Ray,-,134241,1 hour 45 minutes
668,Satyajit Ray,-,135342,2 hours 5 minutes
667,"Alan Mehrez, Philip Tan",-,684351,1 hour 30 minutes
665,Emir Kusturica,14000000,182134,2 hours 47 minutes
663,Kelly Makin,-,2654308,1 hour 29 minutes
662,James Foley,-,20831000,1 hour 37 minutes
661,Henry Selick,38000000,28946127,1 hour 19 minutes
656,Steve Rash,30000000,31387164,1 hour 40 minutes
653,Rob Cohen,57000000,115267375,1 hour 43 minutes
650,Pen Densham,-,3486957,2 hours 3 minutes
649,Friðrik Þór Friðriksson,130000000,-,1 hour 23 minutes
648,Brian De Palma,80000000,457696391,1 hour 50 minutes
647,Edward Zwick,46000000,100860818,1 hour 56 minutes
645,Claude Sautet,-,955708,1 hour 46 minutes
640,Jeremiah S. Chechik,-,17100266,1 hour 47 minutes
639,Spike Lee,12000000,4939939,1 hour 48 minutes
638,Tim Sullivan,-,218626,1 hour 50 minutes
637,Jonathan Lynn,39000000,37956793,1 hour 34 minutes
636,Todd Verow,-,87433,1 hour 28 minutes
635,Richard Pearce,-,10125417,1 hour 49 minutes
634,Jonathan R. Betuel,33500000,-,1 hour 32 minutes
633,Hal Salwen,-,148121,1 hour 20 minutes
632,Ken Loach,2500000,228800,1 hour 49 minutes
631,"Larry Leker, Paul Sabella",-,8620678,1 hour 22 minutes
628,Gregory Hoblit,30000000,102616183,2 hours 9 minutes
627,Stacy Title,-,459749,1 hour 32 minutes
626,Martin Lawrence,8000000,35599803,1 hour 48 minutes
619,Bill Couturié,24000000,4422380,1 hour 34 minutes
618,Fernando Trueba,24000000,1141556,1 hour 58 minutes
617,Pedro Almodóvar,-,1105265,1 hour 43 minutes
616,Wolfgang Reitherman,4000000,191000000,1 hour 18 minutes
615,Franco Brusati,-,-,1 hour 40 minutes
613,Franco Zeffirelli,-,5200601,1 hour 52 minutes
612,Matt Reeves,8000000,5656388,1 hour 38 minutes
611,Kevin Yagher,4000000,9336886,1 hour 25 minutes
610,"Gerald Potterton, John Bruno, John Halas",9300000,547563,1 hour 26 minutes
609,David R. Ellis,-,32772492,1 hour 28 minutes
608,"Joel Coen, Ethan Coen",7000000,60611975,1 hour 38 minutes
606,Bill Condon,6000000,13940383,1 hour 35 minutes
605,Michael Hoffman,-,97529550,1 hour 48 minutes
602,Jean Bach,-,527034,1 hour
600,C.M. Talkington,-,35200,1 hour 41 minutes
599,Sam Peckinpah,6244087,640561,2 hours 15 minutes
597,Garry Marshall,14000000,463406268,1 hour 59 minutes
596,"Norman Ferguson, T. Hee, Wilfred Jackson",2600000,121892045,1 hour 28 minutes
595,"Gary Trousdale, Kirk Wise",25000000,451291298,1 hour 24 minutes
594,"William Cottrell, David Hand, Wilfred Jackson",1499000,184960747,1 hour 23 minutes
593,Jonathan Demme,19000000,272742922,1 hour 58 minutes
592,Tim Burton,35000000,411569241,2 hours 6 minutes
590,Kevin Costner,22000000,424208848,3 hours 1 minute
589,James Cameron,102000000,517778573,2 hours 17 minutes
588,"Ron Clements, John Musker",28000000,504050219,1 hour 30 minutes
587,Jerry Zucker,22000000,505703557,2 hours 7 minutes
586,Chris Columbus,18000000,476684675,1 hour 43 minutes
585,Betty Thomas,12000000,46576136,1 hour 30 minutes
583,Nanni Moretti,-,173696,1 hour 40 minutes
581,"Rob Epstein, Jeffrey Friedman",-,1400591,1 hour 42 minutes
580,Michael Austin,-,3062530,1 hour 37 minutes
579,Ricky Tognazzi,-,147107,1 hour 36 minutes
577,George Miller,-,16820893,1 hour 34 minutes
575,Penelope Spheeris,23000000,67308282,1 hour 22 minutes
574,David O. Russell,200000,1359736,1 hour 40 minutes
573,Lina Wertmüller,-,1113435,1 hour 40 minutes
569,Andrew Scheinman,-,12267790,1 hour 59 minutes
568,Gurinder Chadha,-,739055,1 hour 41 minutes
567,Pedro Almodóvar,-,2020357,1 hour 54 minutes
564,Dennis Hopper,-,1596687,1 hour 42 minutes
563,Claude Berri,164000000,-,2 hours 40 minutes
562,Todd Solondz,800000,4569882,1 hour 28 minutes
558,"Pixote Hunt, Joe Johnston",27000000,13670688,1 hour 20 minutes
556,"Chris Hegedus, D.A. Pennebaker",-,901668,1 hour 36 minutes
555,Tony Scott,13000000,13088850,1 hour 59 minutes
553,George P. Cosmatos,25000000,56505065,2 hours 10 minutes
552,Stephen Herek,30000000,53898845,1 hour 45 minutes
551,Henry Selick,18000000,107800040,1 hour 16 minutes
550,Andrew Fleming,-,14815317,1 hour 33 minutes
549,François Girard,-,1319521,1 hour 38 minutes
548,Deran Sarafian,50000000,16487349,1 hour 42 minutes
547,Ernest R. Dickerson,7400000,7727256,1 hour 36 minutes
546,"Annabel Jankel, Rocky Morton",48000000,20928292,1 hour 44 minutes
544,Rowdy Herrington,30000000,24107867,1 hour 42 minutes
543,Thomas Schlamme,20000000,11585483,1 hour 33 minutes
542,Steve Rash,8000000,36448400,1 hour 35 minutes
541,Ridley Scott,28000000,41758687,1 hour 57 minutes
540,Phillip Noyce,40000000,116300000,1 hour 47 minutes
539,Nora Ephron,21000000,227927165,1 hour 45 minutes
538,Fred Schepisi,12000000,6405918,1 hour 52 minutes
537,John Duigan,-,7770731,1 hour 38 minutes
536,Gillies MacKinnon,-,3430583,1 hour 46 minutes
535,Robert Altman,12000000,6110979,3 hours 8 minutes
534,Richard Attenborough,22000000,25842377,2 hours 11 minutes
533,Russell Mulcahy,25000000,48063435,1 hour 48 minutes
532,John Waters,13000000,7823437,1 hour 35 minutes
531,Agnieszka Holland,18000000,31181347,1 hour 41 minutes
529,Steven Zaillian,12000000,7266383,1 hour 49 minutes
528,Michael Ritchie,-,2694234,1 hour 41 minutes
527,Steven Spielberg,22000000,322161245,3 hours 15 minutes
526,Cyril Collard,-,662341,2 hours 6 minutes
524,David Anspaugh,-,22881563,1 hour 54 minutes
523,Victor Nunez,800000,1001437,1 hour 54 minutes
522,Geoffrey Wright,-,175526,1 hour 34 minutes
521,Peter Medak,11500000,3275585,1 hour 50 minutes
520,Mel Brooks,20000000,35739755,1 hour 44 minutes
519,Fred Dekker,22000000,10696210,1 hour 44 minutes
518,Alan Parker,25000000,6562513,1 hour 58 minutes
517,Philip Kaufman,35000000,107198790,2 hours 9 minutes
516,Penny Marshall,40000000,24332324,2 hours 8 minutes
515,James Ivory,15000000,23240144,2 hours 14 minutes
514,Ted Demme,11000000,11439193,1 hour 37 minutes
513,Mel Smith,15000000,1316865,1 hour 48 minutes
512,Stuart Orme,-,8647042,1 hour 49 minutes
511,David S. Ward,15000000,23032565,1 hour 52 minutes
510,John Singleton,14000000,27515786,1 hour 49 minutes
509,Jane Campion,7000000,40185556,2 hours 1 minute
508,Jonathan Demme,26000000,206678440,2 hours 5 minutes
507,Clint Eastwood,30000000,135130999,2 hours 18 minutes
506,Sally Potter,4000000,5409423,1 hour 34 minutes
505,Rob Reiner,40000000,7182747,1 hour 27 minutes
504,Martin Campbell,20000000,15339030,1 hour 58 minutes
502,Christopher Cain,12000000,15876353,1 hour 47 minutes
501,Mike Leigh,-,1797195,2 hours 11 minutes
500,Chris Columbus,25000000,441286195,2 hours 5 minutes
499,Anthony Minghella,13000000,3125424,1 hour 38 minutes
497,Kenneth Branagh,11000000,22549338,1 hour 51 minutes
496,Tom Noonan,120000,141,1 hour 31 minutes
495,Nagisa Ôshima,-,266,1 hour 49 minutes
494,Stuart Baird,55000000,121969216,2 hours 13 minutes
493,"Albert Hughes, Allen Hughes",3500000,27912072,1 hour 37 minutes
492,Woody Allen,13500000,11330911,1 hour 44 minutes
491,Mel Gibson,20000000,24760338,1 hour 55 minutes
490,Harold Becker,20000000,46405336,1 hour 47 minutes
489,Richard Benjamin,22000000,104942695,1 hour 51 minutes
488,David Cronenberg,-,1498795,1 hour 41 minutes
487,Simon Wincer,36000000,16821273,1 hour 38 minutes
486,James Lapine,-,12440858,1 hour 31 minutes
485,John McTiernan,85000000,137298489,2 hours 10 minutes
484,Daniel Petrie,-,9994609,1 hour 34 minutes
482,Roger Avary,1500000,418961,1 hour 36 minutes
481,Dominic Sena,9000000,2395231,1 hour 57 minutes
480,Steven Spielberg,63000000,1104379926,2 hours 7 minutes
479,Stephen Hopkins,21000000,12526677,1 hour 50 minutes
478,Barry Levinson,30000000,3783003,1 hour 52 minutes
477,Brian Gibson,15000000,39100956,1 hour 58 minutes
476,Matty Rich,8000000,8880705,1 hour 50 minutes
475,Jim Sheridan,13000000,65796862,2 hours 13 minutes
474,Wolfgang Petersen,40000000,176997168,2 hours 8 minutes
473,Daniel Petrie Jr.,-,28881266,1 hour 31 minutes
472,James L. Brooks,40000000,10424645,1 hour 55 minutes
471,"Joel Coen, Ethan Coen",40000000,2816518,1 hour 51 minutes
470,Eric Meza,-,19281235,1 hour 40 minutes
469,Bille August,40000000,6265311,2 hours 25 minutes
468,Christopher Monger,40997769,10904930,1 hour 39 minutes
467,Julianna Lavin,-,23808,1 hour 35 minutes
466,Jim Abrahams,25000000,133752825,1 hour 26 minutes
464,John Woo,18000000,74189677,1 hour 37 minutes
461,Rose Troche,15000,2405285,1 hour 23 minutes
460,Howard Deutch,30000000,18869594,1 hour 49 minutes
459,Roger Donaldson,-,30057974,1 hour 55 minutes
458,Walter Hill,35000000,18635620,1 hour 55 minutes
457,Andrew Davis,44000000,368875760,2 hours 10 minutes
456,Boaz Yakin,3500000,8094616,1 hour 54 minutes
455,Simon Wincer,20000000,153709806,1 hour 52 minutes
454,Sydney Pollack,42000000,270248367,2 hours 34 minutes
453,Barry Sonnenfeld,30000000,11146270,1 hour 36 minutes
452,John Irvin,-,6243722,1 hour 41 minutes
451,Steve Kloves,-,9709451,2 hours 6 minutes
450,Alek Keshishian,-,20016254,1 hour 41 minutes
449,Rusty Cundieff,999999,233824,1 hour 28 minutes
448,Peter Weir,-,6995302,2 hours 2 minutes
446,Kaige Chen,4000000,7447084,2 hours 51 minutes
445,Carl Reiner,-,7839327,1 hour 31 minutes
444,Gus Van Sant,8000000,1708873,1 hour 46 minutes
442,Marco Brambilla,57000000,58056466,1 hour 55 minutes
441,Richard Linklater,6900000,8259076,1 hour 43 minutes
440,Ivan Reitman,28000000,63270710,1 hour 50 minutes
438,Gregg Champion,35000000,20280016,1 hour 42 minutes
437,Michael Ritchie,-,11391093,1 hour 33 minutes
436,Richard Rush,40000000,19726050,2 hours 1 minute
435,Steve Barron,30000000,21274717,1 hour 28 minutes
434,Renny Harlin,70000000,255000211,1 hour 53 minutes
433,Mick Jackson,18000000,7355425,1 hour 47 minutes
432,Paul Weiland,40000000,43622150,1 hour 56 minutes
431,Brian De Palma,30000000,63848322,2 hours 24 minutes
430,John Whitesell,13000000,2570550,1 hour 30 minutes
429,Adam Resnick,9000000,3662459,1 hour 20 minutes
428,Robert De Niro,22000000,17287898,2 hours 1 minute
427,Jennifer Lynch,-,1796389,1 hour 47 minutes
426,Abel Ferrara,13000000,428868,1 hour 27 minutes
425,Tony Richardson,16000000,3359465,1 hour 41 minutes
424,William Friedkin,-,23070663,1 hour 48 minutes
423,Stephen Hopkins,28000000,30156002,2 hours 1 minute
422,Michael Apted,11000000,16696219,1 hour 46 minutes
421,Caroline Thompson,-,4630377,1 hour 28 minutes
420,John Landis,50000000,119208989,1 hour 44 minutes
419,Penelope Spheeris,25000000,57405220,1 hour 32 minutes
418,Bill Forsyth,40000000,1519366,2 hours 2 minutes
417,Whit Stillman,3200000,7266973,1 hour 41 minutes
416,Jonathan Kaplan,25000000,15240435,1 hour 39 minutes
415,John Badham,-,20208496,1 hour 48 minutes
414,Paul Michael Glaser,17080000,21011318,1 hour 47 minutes
413,Michael Lehmann,-,5751882,1 hour 32 minutes
412,Martin Scorsese,34000000,32255953,2 hours 19 minutes
410,Barry Sonnenfeld,47000000,48919043,1 hour 34 minutes
409,Jeff Pollack,3500000,16192320,1 hour 36 minutes
408,John G. Avildsen,7000000,19623396,1 hour 45 minutes
407,John Carpenter,8000000,8926413,1 hour 35 minutes
406,Michael Corrente,80000,514775,1 hour 37 minutes
405,Andrew Morahan,26000000,12303080,1 hour 39 minutes
393,Steven E. de Souza,35000000,99433436,1 hour 42 minutes
391,Doug McHenry,7000000,20851521,1 hour 59 minutes
390,Russ Meyer,45000,-,1 hour 23 minutes
389,Yves Angelo,-,464284,1 hour 50 minutes
388,"Robert Lee King, Raoul O'Connell, Brian Sloan",-,-,1 hour 31 minutes
387,Keenen Ivory Wayans,10000000,29392418,1 hour 40 minutes
386,Jefery Levy,-,63513,1 hour 36 minutes
385,Suri Krishnamma,-,920916,1 hour 39 minutes
384,Damian Harris,15000000,3674841,1 hour 48 minutes
383,Lawrence Kasdan,63000000,25052000,3 hours 11 minutes
382,Mike Nichols,70000000,131002597,2 hours 5 minutes
381,Luis Mandoki,-,50021959,2 hours 6 minutes
